厂商,icon,模型型号,场景,文档路径,Curl
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-02-fast,text-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-02-fast/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Text To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-02-fast/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""duration\"": 6,\n  \""enable_prompt_expansion\"": true,\n  \""prompt\"": \""a act\""\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
MiniMax,"https://oss.gptproto.com/ai-content/1757932596487-20250915-183623.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",hailuo-02-fast,image-to-video,https://docs.gptproto.com/docs/allapi/MiniMax/hailuo-02-fast/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Image To Video"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/minimax/hailuo-02-fast/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""duration\"": \""6\"",\n  \""enable_prompt_expansion\"": false\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""Gptproto Format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.1-standard,text-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.1-standard/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.1-standard/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""a cat\"",\n  \""negative_prompt\"": \""\"",\n  \""aspect_ratio\"": \""9:16\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.1-standard,image-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.1-standard/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.1-standard/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""negative_prompt\"": \""\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.1-pro,text-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.1-pro/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.1-pro/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""a cat\"",\n  \""negative_prompt\"": \""\"",\n  \""aspect_ratio\"": \""9:16\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.1-pro,image-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.1-pro/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.1-pro/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""negative_prompt\"": \""\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.1-master,text-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.1-master/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location '"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.1-master,image-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.1-master/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.1-master/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""negative_prompt\"": \""\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.5-turbo-pro,text-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.5-turbo-pro/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.5-turbo-pro/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""a cat\"",\n  \""negative_prompt\"": \""\"",\n  \""aspect_ratio\"": \""9:16\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.5-turbo-pro,image-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.5-turbo-pro/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.5-turbo-pro/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""negative_prompt\"": \""\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.5-turbo-std,text-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.5-turbo-std/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.5-turbo-std/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""a cat\"",\n  \""negative_prompt\"": \""\"",\n  \""aspect_ratio\"": \""9:16\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.5-turbo-std,image-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.5-turbo-std/gptproto-format/image-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.5-turbo-std/image-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""Put a hat on the cat\"",\n  \""image\"": \""https://tos.gptproto.com/resource/cat.png\"",\n  \""negative_prompt\"": \""\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
Kling,"https://oss.gptproto.com/ai-draw/AiIcon/Kling.png?x-oss-process=image/format,webp/quality,q_100/resize,w_160,h_160,m_fill",kling-v2.6-pro,text-to-video,https://docs.gptproto.com/docs/allapi/Kling/kling-v2.6-pro/gptproto-format/text-to-video,"[{""content"": [{""title"": ""Submit Task"", ""curl"": ""curl --location 'https://gptproto.com/api/v3/kwaivgi/kling-v2.6-pro/text-to-video' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json' \\\n--data '{\n  \""prompt\"": \""a cat\"",\n  \""negative_prompt\"": \""\"",\n  \""sound\"": true,\n  \""aspect_ratio\"": \""9:16\"",\n  \""duration\"": 5\n}'\n""}, {""title"": ""Query Result"", ""curl"": ""curl --location --globoff --request POST 'https://gptproto.com/api/v3/predictions/{{id}}/result' \\\n--header 'Authorization: GPTPROTO_API_KEY' \\\n--header 'Content-Type: application/json'\n""}], ""label"": ""gptproto-format""}]"
